,날짜,위치,업종,매출
0,0,0,0,0
1,20190501,서울특별시,eatery,301146685
2,20190601,서울특별시,eatery,285623660
3,20190701,서울특별시,eatery,282519055
4,20190801,서울특별시,eatery,273205240
5,20190901,서울특별시,eatery,266996030
6,20191001,서울특별시,eatery,285623660
7,20191101,서울특별시,eatery,276309845
8,20191201,서울특별시,eatery,310460500
9,20200101,서울특별시,eatery,263891425
10,20200201,서울특별시,eatery,229740770
11,20200301,서울특별시,eatery,204903930
12,20200401,서울특별시,eatery,208008535
13,20200501,서울특별시,eatery,242159190
14,20190501,경기도,eatery,217322350
15,20190601,경기도,eatery,208008535
16,20190701,경기도,eatery,208008535
17,20190801,경기도,eatery,211113140
18,20190901,경기도,eatery,198694720
19,20191001,경기도,eatery,208008535
20,20191101,경기도,eatery,195590115
21,20191201,경기도,eatery,214217745
22,20200101,경기도,eatery,201799325
23,20200201,경기도,eatery,173857880
24,20200301,경기도,eatery,170753275
25,20200401,경기도,eatery,183171695
26,20200501,경기도,eatery,195590115
27,20190501,부산광역시,eatery,96242755
28,20190601,부산광역시,eatery,90033545
29,20190701,부산광역시,eatery,90033545
30,20190801,부산광역시,eatery,93138150
31,20190901,부산광역시,eatery,86928940
32,20191001,부산광역시,eatery,90033545
33,20191101,부산광역시,eatery,86928940
34,20191201,부산광역시,eatery,99347360
35,20200101,부산광역시,eatery,86928940
36,20200201,부산광역시,eatery,68301310
37,20200301,부산광역시,eatery,55882890
38,20200401,부산광역시,eatery,65196705
39,20200501,부산광역시,eatery,86928940
40,20190501,경상남도,eatery,62092100
41,20190601,경상남도,eatery,58987495
42,20190701,경상남도,eatery,58987495
43,20190801,경상남도,eatery,62092100
44,20190901,경상남도,eatery,55882890
45,20191001,경상남도,eatery,55882890
46,20191101,경상남도,eatery,55882890
47,20191201,경상남도,eatery,68301310
48,20200101,경상남도,eatery,58987495
49,20200201,경상남도,eatery,46569075
50,20200301,경상남도,eatery,46569075
51,20200401,경상남도,eatery,49673680
52,20200501,경상남도,eatery,62092100
53,20190501,인천광역시,eatery,46569075
54,20190601,인천광역시,eatery,43464470
55,20190701,인천광역시,eatery,40359865
56,20190801,인천광역시,eatery,40359865
57,20190901,인천광역시,eatery,40359865
58,20191001,인천광역시,eatery,40359865
59,20191101,인천광역시,eatery,40359865
60,20191201,인천광역시,eatery,43464470
61,20200101,인천광역시,eatery,40359865
62,20200201,인천광역시,eatery,34150655
63,20200301,인천광역시,eatery,31046050
64,20200401,인천광역시,eatery,31046050
65,20200501,인천광역시,eatery,37255260
66,20190501,대구광역시,eatery,40359865
67,20190601,대구광역시,eatery,37255260
68,20190701,대구광역시,eatery,37255260
69,20190801,대구광역시,eatery,37255260
70,20190901,대구광역시,eatery,37255260
71,20191001,대구광역시,eatery,37255260
72,20191101,대구광역시,eatery,37255260
73,20191201,대구광역시,eatery,40359865
74,20200101,대구광역시,eatery,37255260
75,20200201,대구광역시,eatery,27941445
76,20200301,대구광역시,eatery,18627630
77,20200401,대구광역시,eatery,24836840
78,20200501,대구광역시,eatery,31046050
79,20190501,경상북도,eatery,40359865
80,20190601,경상북도,eatery,37255260
81,20190701,경상북도,eatery,37255260
82,20190801,경상북도,eatery,40359865
83,20190901,경상북도,eatery,34150655
84,20191001,경상북도,eatery,37255260
85,20191101,경상북도,eatery,34150655
86,20191201,경상북도,eatery,37255260
87,20200101,경상북도,eatery,31046050
88,20200201,경상북도,eatery,24836840
89,20200301,경상북도,eatery,18627630
90,20200401,경상북도,eatery,24836840
91,20200501,경상북도,eatery,34150655
92,20190501,강원도,eatery,29862976
93,20190601,강원도,eatery,27826864
94,20190701,강원도,eatery,28505568
95,20190801,강원도,eatery,33935200
96,20190901,강원도,eatery,26808808
97,20191001,강원도,eatery,28166216
98,20191101,강원도,eatery,26130104
99,20191201,강원도,eatery,29184272
