,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT,STD_CLSS_NM2
0,201901,강원,건강보조식품 소매업,148354746,건강보조식품
1,201901,강원,골프장 운영업,1229200312,스포츠/오락/여가
2,201901,강원,과실 및 채소 소매업,1286979106,
3,201901,강원,관광 민예품 및 선물용품 소매업,30656770,여행/교통
4,201901,강원,그외 기타 스포츠시설 운영업,13101500,스포츠/오락/여가
5,201901,강원,그외 기타 종합 소매업,533330540,종합소매
6,201901,강원,기타 대형 종합 소매업,8442324759,종합소매
7,201901,강원,기타 수상오락 서비스업,4224000,오락/문화
8,201901,강원,기타 외국식 음식점업,1164632486,숙박/음식
9,201901,강원,기타 주점업,326489689,숙박/음식
10,201901,강원,기타음식료품위주종합소매업,7144544354,종합소매
11,201901,강원,내항 여객 운송업,434000,기타운송수단
12,201901,강원,마사지업,28961000,기타
13,201901,강원,면세점,3501010,면세점
14,201901,강원,버스 운송업,1130500,대중교통
15,201901,강원,비알콜 음료점업,1120332376,식료품
16,201901,강원,빵 및 과자류 소매업,1226835185,식료품
17,201901,강원,서양식 음식점업,2099455725,숙박/음식
18,201901,강원,수산물 소매업,830580311,식료품
19,201901,강원,슈퍼마켓,10091259925,슈퍼마켓
20,201901,강원,스포츠 및 레크레이션 용품 임대업,3323164732,오락/문화
21,201901,강원,여관업,786795087,숙박/음식
22,201901,강원,여행사업,88985160,여행사/자동차임대
23,201901,강원,욕탕업,307834266,기타
24,201901,강원,육류 소매업,1788345413,식료품
25,201901,강원,일반유흥 주점업,1370688338,숙박/음식
26,201901,강원,일식 음식점업,2062812117,숙박/음식
27,201901,강원,자동차 임대업,811000,여행사/자동차임대
28,201901,강원,전시 및 행사 대행업,1477031890,기타
29,201901,강원,중식 음식점업,1377586438,숙박/음식
30,201901,강원,차량용 가스 충전업,668942409,연료
31,201901,강원,차량용 주유소 운영업,15602772226,연료
32,201901,강원,체인화 편의점,8648963780,편의점
33,201901,강원,택시 운송업,265900,기타운송수단
34,201901,강원,피자 햄버거 샌드위치 및 유사 음식점업,1576638786,숙박/음식
35,201901,강원,한식 음식점업,25022306415,숙박/음식
36,201901,강원,호텔업,1807852978,숙박/음식
37,201901,강원,화장품 및 방향제 소매업,700546682,화장품
38,201901,강원,휴양콘도 운영업,4227299850,숙박/음식
39,201901,경기,건강보조식품 소매업,1540124138,건강보조식품
40,201901,경기,골프장 운영업,1471697265,스포츠/오락/여가
41,201901,경기,과실 및 채소 소매업,6965990944,
42,201901,경기,관광 민예품 및 선물용품 소매업,134922788,여행/교통
43,201901,경기,그외 기타 스포츠시설 운영업,57059100,스포츠/오락/여가
44,201901,경기,그외 기타 종합 소매업,10140807866,종합소매
45,201901,경기,기타 대형 종합 소매업,168460824719,종합소매
46,201901,경기,기타 수상오락 서비스업,70583518,오락/문화
47,201901,경기,기타 외국식 음식점업,12540594067,숙박/음식
48,201901,경기,기타 주점업,1582184220,숙박/음식
49,201901,경기,기타음식료품위주종합소매업,16769768140,종합소매
50,201901,경기,마사지업,392468500,기타
51,201901,경기,버스 운송업,62597350,대중교통
52,201901,경기,비알콜 음료점업,11882350239,식료품
53,201901,경기,빵 및 과자류 소매업,14735505216,식료품
54,201901,경기,서양식 음식점업,21387980102,숙박/음식
55,201901,경기,수산물 소매업,3587788571,식료품
56,201901,경기,슈퍼마켓,120715686251,슈퍼마켓
57,201901,경기,스포츠 및 레크레이션 용품 임대업,13790082740,오락/문화
58,201901,경기,여관업,4353331241,숙박/음식
59,201901,경기,여행사업,22641916,여행사/자동차임대
60,201901,경기,욕탕업,3914341453,기타
61,201901,경기,육류 소매업,17766091512,식료품
62,201901,경기,일반유흥 주점업,7710473256,숙박/음식
63,201901,경기,일식 음식점업,11485652872,숙박/음식
64,201901,경기,자동차 임대업,453308644,여행사/자동차임대
65,201901,경기,전시 및 행사 대행업,1546612222,기타
66,201901,경기,중식 음식점업,16088642741,숙박/음식
