REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT,STD_CLSS_NM2,STD_CLSS_NM3
201901,강원,건강보조식품 소매업,148354746,건강보조식품,eatery
201901,강원,골프장 운영업,1229200312,스포츠/오락/여가,leisure
201901,강원,과실 및 채소 소매업,1286979106,식료품,eatery
201901,강원,관광 민예품 및 선물용품 소매업,30656770,여행/교통,tour
201901,강원,그외 기타 스포츠시설 운영업,13101500,스포츠/오락/여가,leisure
201901,강원,그외 기타 종합 소매업,533330540,종합소매,living
201901,강원,기타 대형 종합 소매업,8442324759,종합소매,living
201901,강원,기타 수상오락 서비스업,4224000,오락/문화,leisure
201901,강원,기타 외국식 음식점업,1164632486,숙박/음식,eatery
201901,강원,기타 주점업,326489689,숙박/음식,eatery
201901,강원,기타음식료품위주종합소매업,7144544354,종합소매,eatery
201901,강원,내항 여객 운송업,434000,기타운송수단,tour
201901,강원,마사지업,28961000,기타,living
201901,강원,면세점,3501010,면세점,tour
201901,강원,버스 운송업,1130500,대중교통,living
201901,강원,비알콜 음료점업,1120332376,식료품,eatery
201901,강원,빵 및 과자류 소매업,1226835185,식료품,eatery
201901,강원,서양식 음식점업,2099455725,숙박/음식,eatery
201901,강원,수산물 소매업,830580311,식료품,eatery
201901,강원,슈퍼마켓,10091259925,슈퍼마켓,living
201901,강원,스포츠 및 레크레이션 용품 임대업,3323164732,오락/문화,leisure
201901,강원,여관업,786795087,숙박/음식,tour
201901,강원,여행사업,88985160,여행사/자동차임대,tour
201901,강원,욕탕업,307834266,기타,living
201901,강원,육류 소매업,1788345413,식료품,eatery
201901,강원,일반유흥 주점업,1370688338,숙박/음식,eatery
201901,강원,일식 음식점업,2062812117,숙박/음식,eatery
201901,강원,자동차 임대업,811000,여행사/자동차임대,tour
201901,강원,전시 및 행사 대행업,1477031890,기타,hobbyenter
201901,강원,중식 음식점업,1377586438,숙박/음식,eatery
201901,강원,차량용 가스 충전업,668942409,연료,living
201901,강원,차량용 주유소 운영업,15602772226,연료,living
201901,강원,체인화 편의점,8648963780,편의점,living
201901,강원,택시 운송업,265900,기타운송수단,living
201901,강원,피자 햄버거 샌드위치 및 유사 음식점업,1576638786,숙박/음식,eatery
201901,강원,한식 음식점업,25022306415,숙박/음식,eatery
201901,강원,호텔업,1807852978,숙박/음식,tour
201901,강원,화장품 및 방향제 소매업,700546682,화장품,fbeauty
201901,강원,휴양콘도 운영업,4227299850,숙박/음식,tour
201901,경기,건강보조식품 소매업,1540124138,건강보조식품,eatery
201901,경기,골프장 운영업,1471697265,스포츠/오락/여가,leisure
201901,경기,과실 및 채소 소매업,6965990944,식료품,eatery
201901,경기,관광 민예품 및 선물용품 소매업,134922788,여행/교통,tour
201901,경기,그외 기타 스포츠시설 운영업,57059100,스포츠/오락/여가,leisure
201901,경기,그외 기타 종합 소매업,10140807866,종합소매,living
201901,경기,기타 대형 종합 소매업,168460824719,종합소매,living
201901,경기,기타 수상오락 서비스업,70583518,오락/문화,leisure
201901,경기,기타 외국식 음식점업,12540594067,숙박/음식,eatery
201901,경기,기타 주점업,1582184220,숙박/음식,eatery
201901,경기,기타음식료품위주종합소매업,16769768140,종합소매,eatery
201901,경기,마사지업,392468500,기타,living
201901,경기,버스 운송업,62597350,대중교통,living
201901,경기,비알콜 음료점업,11882350239,식료품,eatery
201901,경기,빵 및 과자류 소매업,14735505216,식료품,eatery
201901,경기,서양식 음식점업,21387980102,숙박/음식,eatery
201901,경기,수산물 소매업,3587788571,식료품,eatery
201901,경기,슈퍼마켓,120715686251,슈퍼마켓,living
201901,경기,스포츠 및 레크레이션 용품 임대업,13790082740,오락/문화,leisure
201901,경기,여관업,4353331241,숙박/음식,tour
201901,경기,여행사업,22641916,여행사/자동차임대,tour
201901,경기,욕탕업,3914341453,기타,living
201901,경기,육류 소매업,17766091512,식료품,eatery
201901,경기,일반유흥 주점업,7710473256,숙박/음식,eatery
201901,경기,일식 음식점업,11485652872,숙박/음식,eatery
201901,경기,자동차 임대업,453308644,여행사/자동차임대,tour
201901,경기,전시 및 행사 대행업,1546612222,기타,hobbyenter
201901,경기,중식 음식점업,16088642741,숙박/음식,eatery
201901,경기,차량용 가스 충전업,3095535180,연료,living
201901,경기,차량용 주유소 운영업,121547869665,연료,living
201901,경기,체인화 편의점,83177758410,편의점,living
201901,경기,택시 운송업,139291280,기타운송수단,living
201901,경기,피자 햄버거 샌드위치 및 유사 음식점업,17878429917,숙박/음식,eatery
201901,경기,한식 음식점업,223599846219,숙박/음식,eatery
201901,경기,호텔업,389691163,숙박/음식,tour
201901,경기,화장품 및 방향제 소매업,7081712315,화장품,fbeauty
201901,경기,휴양콘도 운영업,226244771,숙박/음식,tour
201901,경남,건강보조식품 소매업,413897386,건강보조식품,eatery
201901,경남,골프장 운영업,2720329450,스포츠/오락/여가,leisure
201901,경남,과실 및 채소 소매업,3201287308,식료품,eatery
201901,경남,관광 민예품 및 선물용품 소매업,41680368,여행/교통,tour
201901,경남,그외 기타 분류안된 오락관련 서비스업,463500,오락/문화,hobbyenter
201901,경남,그외 기타 스포츠시설 운영업,20833700,스포츠/오락/여가,leisure
201901,경남,그외 기타 종합 소매업,1249173640,종합소매,living
201901,경남,기타 대형 종합 소매업,25810400549,종합소매,living
201901,경남,기타 수상오락 서비스업,4128847,오락/문화,leisure
201901,경남,기타 외국식 음식점업,2156205113,숙박/음식,eatery
201901,경남,기타 주점업,662824990,숙박/음식,eatery
201901,경남,기타음식료품위주종합소매업,10887317737,종합소매,eatery
201901,경남,내항 여객 운송업,16887900,기타운송수단,tour
201901,경남,마사지업,50163200,기타,living
201901,경남,버스 운송업,81624858,대중교통,living
201901,경남,비알콜 음료점업,2611717189,식료품,eatery
201901,경남,빵 및 과자류 소매업,3468492165,식료품,eatery
201901,경남,서양식 음식점업,4546377129,숙박/음식,eatery
201901,경남,수산물 소매업,1205998466,식료품,eatery
201901,경남,슈퍼마켓,22547713678,슈퍼마켓,living
201901,경남,스포츠 및 레크레이션 용품 임대업,4717183758,오락/문화,leisure
201901,경남,여관업,1133966355,숙박/음식,tour
201901,경남,여행사업,5283200,여행사/자동차임대,tour
201901,경남,욕탕업,1518620052,기타,living
201901,경남,육류 소매업,4743458836,식료품,eatery
201901,경남,일반유흥 주점업,5035557010,숙박/음식,eatery
201901,경남,일식 음식점업,2614006610,숙박/음식,eatery
201901,경남,자동차 임대업,2708271,여행사/자동차임대,tour
201901,경남,전시 및 행사 대행업,59334000,기타,hobbyenter
201901,경남,중식 음식점업,2521546998,숙박/음식,eatery
201901,경남,차량용 가스 충전업,1293051002,연료,living
201901,경남,차량용 주유소 운영업,44119183277,연료,living
201901,경남,체인화 편의점,17800235187,편의점,living
201901,경남,택시 운송업,20089170,기타운송수단,living
201901,경남,피자 햄버거 샌드위치 및 유사 음식점업,4293000932,숙박/음식,eatery
201901,경남,한식 음식점업,59502043775,숙박/음식,eatery
201901,경남,호텔업,144925635,숙박/음식,tour
201901,경남,화장품 및 방향제 소매업,2129406848,화장품,fbeauty
201901,경남,휴양콘도 운영업,613753878,숙박/음식,tour
201901,경북,건강보조식품 소매업,284178152,건강보조식품,eatery
201901,경북,골프장 운영업,1829791970,스포츠/오락/여가,leisure
201901,경북,과실 및 채소 소매업,2384347737,식료품,eatery
201901,경북,관광 민예품 및 선물용품 소매업,50416060,여행/교통,tour
201901,경북,그외 기타 분류안된 오락관련 서비스업,195000,오락/문화,hobbyenter
201901,경북,그외 기타 스포츠시설 운영업,17645600,스포츠/오락/여가,leisure
201901,경북,그외 기타 종합 소매업,746948370,종합소매,living
201901,경북,기타 대형 종합 소매업,16081779821,종합소매,living
201901,경북,기타 수상오락 서비스업,1441600,오락/문화,leisure
201901,경북,기타 외국식 음식점업,1434047123,숙박/음식,eatery
201901,경북,기타 주점업,396003929,숙박/음식,eatery
201901,경북,기타음식료품위주종합소매업,7921181919,종합소매,eatery
201901,경북,내항 여객 운송업,3566000,기타운송수단,tour
201901,경북,마사지업,18398000,기타,living
201901,경북,비알콜 음료점업,1749268087,식료품,eatery
201901,경북,빵 및 과자류 소매업,2182383475,식료품,eatery
201901,경북,서양식 음식점업,2559135894,숙박/음식,eatery
201901,경북,수산물 소매업,1895458753,식료품,eatery
201901,경북,슈퍼마켓,21461584707,슈퍼마켓,living
201901,경북,스포츠 및 레크레이션 용품 임대업,4840729397,오락/문화,leisure
201901,경북,여관업,517696639,숙박/음식,tour
201901,경북,여행사업,89000,여행사/자동차임대,tour
201901,경북,욕탕업,817427689,기타,living
201901,경북,육류 소매업,4794490885,식료품,eatery
201901,경북,일반유흥 주점업,1546412872,숙박/음식,eatery
201901,경북,일식 음식점업,1282923702,숙박/음식,eatery
201901,경북,자동차 임대업,1367000,여행사/자동차임대,tour
201901,경북,전시 및 행사 대행업,137143050,기타,hobbyenter
201901,경북,중식 음식점업,1675287229,숙박/음식,eatery
201901,경북,차량용 가스 충전업,1621411903,연료,living
201901,경북,차량용 주유소 운영업,42900835522,연료,living
201901,경북,체인화 편의점,11278015102,편의점,living
201901,경북,택시 운송업,553080,기타운송수단,living
201901,경북,피자 햄버거 샌드위치 및 유사 음식점업,2476400674,숙박/음식,eatery
201901,경북,한식 음식점업,41127952116,숙박/음식,eatery
201901,경북,호텔업,506154785,숙박/음식,tour
201901,경북,화장품 및 방향제 소매업,1447825537,화장품,fbeauty
201901,경북,휴양콘도 운영업,459768944,숙박/음식,tour
201901,광주,건강보조식품 소매업,252286545,건강보조식품,eatery
201901,광주,골프장 운영업,88324000,스포츠/오락/여가,leisure
201901,광주,과실 및 채소 소매업,2031048025,식료품,eatery
201901,광주,관광 민예품 및 선물용품 소매업,12454900,여행/교통,tour
201901,광주,그외 기타 스포츠시설 운영업,12133600,스포츠/오락/여가,leisure
201901,광주,그외 기타 종합 소매업,1868468630,종합소매,living
201901,광주,기타 대형 종합 소매업,11746170440,종합소매,living
201901,광주,기타 수상오락 서비스업,509500,오락/문화,leisure
201901,광주,기타 외국식 음식점업,1068799119,숙박/음식,eatery
201901,광주,기타 주점업,433149945,숙박/음식,eatery
201901,광주,기타음식료품위주종합소매업,715994680,종합소매,eatery
201901,광주,내항 여객 운송업,21357100,기타운송수단,tour
201901,광주,마사지업,92975500,기타,living
201901,광주,버스 운송업,11875000,대중교통,living
201901,광주,비알콜 음료점업,1909710679,식료품,eatery
201901,광주,빵 및 과자류 소매업,2094935172,식료품,eatery
201901,광주,서양식 음식점업,3324676580,숙박/음식,eatery
201901,광주,수산물 소매업,1147863824,식료품,eatery
201901,광주,슈퍼마켓,19220514643,슈퍼마켓,living
201901,광주,스포츠 및 레크레이션 용품 임대업,2983040066,오락/문화,leisure
201901,광주,여관업,552609981,숙박/음식,tour
201901,광주,여행사업,1200000,여행사/자동차임대,tour
201901,광주,욕탕업,411935000,기타,living
201901,광주,육류 소매업,3106206579,식료품,eatery
201901,광주,일반유흥 주점업,1157977516,숙박/음식,eatery
201901,광주,일식 음식점업,1005008660,숙박/음식,eatery
201901,광주,자동차 임대업,2761800,여행사/자동차임대,tour
201901,광주,전시 및 행사 대행업,2566700,기타,hobbyenter
201901,광주,중식 음식점업,1813329812,숙박/음식,eatery
201901,광주,차량용 가스 충전업,907015082,연료,living
201901,광주,차량용 주유소 운영업,14947924766,연료,living
201901,광주,체인화 편의점,7948983687,편의점,living
201901,광주,피자 햄버거 샌드위치 및 유사 음식점업,2186537862,숙박/음식,eatery
201901,광주,한식 음식점업,30149824237,숙박/음식,eatery
201901,광주,호텔업,68511779,숙박/음식,tour
201901,광주,화장품 및 방향제 소매업,1144509912,화장품,fbeauty
201901,대구,건강보조식품 소매업,363157482,건강보조식품,eatery
201901,대구,골프장 운영업,76561290,스포츠/오락/여가,leisure
201901,대구,과실 및 채소 소매업,2471304159,식료품,eatery
201901,대구,관광 민예품 및 선물용품 소매업,31214650,여행/교통,tour
201901,대구,그외 기타 스포츠시설 운영업,19870000,스포츠/오락/여가,leisure
201901,대구,그외 기타 종합 소매업,2081138470,종합소매,living
201901,대구,기타 대형 종합 소매업,27421459810,종합소매,living
201901,대구,기타 수상오락 서비스업,2179500,오락/문화,leisure
201901,대구,기타 외국식 음식점업,1929529013,숙박/음식,eatery
201901,대구,기타 주점업,374619498,숙박/음식,eatery
201901,대구,기타음식료품위주종합소매업,2426660262,종합소매,eatery
201901,대구,마사지업,13438000,기타,living
201901,대구,면세점,260386820,면세점,tour
201901,대구,버스 운송업,2823000,대중교통,living
201901,대구,비알콜 음료점업,3554196810,식료품,eatery
201901,대구,빵 및 과자류 소매업,3473606016,식료품,eatery
201901,대구,서양식 음식점업,6298964069,숙박/음식,eatery
201901,대구,수산물 소매업,2075478065,식료품,eatery
201901,대구,슈퍼마켓,30595467952,슈퍼마켓,living
201901,대구,스포츠 및 레크레이션 용품 임대업,3610983325,오락/문화,leisure
201901,대구,여관업,941980723,숙박/음식,tour
201901,대구,여행사업,8004400,여행사/자동차임대,tour
201901,대구,욕탕업,1018055394,기타,living
201901,대구,육류 소매업,6237121335,식료품,eatery
201901,대구,일반유흥 주점업,1278624717,숙박/음식,eatery
201901,대구,일식 음식점업,2716032514,숙박/음식,eatery
201901,대구,자동차 임대업,2531800,여행사/자동차임대,tour
201901,대구,전시 및 행사 대행업,124830680,기타,hobbyenter
201901,대구,중식 음식점업,2990932979,숙박/음식,eatery
201901,대구,차량용 가스 충전업,1289624290,연료,living
201901,대구,차량용 주유소 운영업,23928428217,연료,living
201901,대구,체인화 편의점,13378173084,편의점,living
201901,대구,택시 운송업,5884419240,기타운송수단,living
201901,대구,피자 햄버거 샌드위치 및 유사 음식점업,4215292077,숙박/음식,eatery
201901,대구,한식 음식점업,53447024178,숙박/음식,eatery
