날짜,위치,업종,매출
20190601,서울특별시,eatery,285623660
20190701,서울특별시,eatery,282519055
20190801,서울특별시,eatery,273205240
20190901,서울특별시,eatery,266996030
20191001,서울특별시,eatery,285623660
20191101,서울특별시,eatery,276309845
20191201,서울특별시,eatery,310460500
20200101,서울특별시,eatery,263891425
20200201,서울특별시,eatery,229740770
20200301,서울특별시,eatery,204903930
20200401,서울특별시,eatery,208008535
20200501,서울특별시,eatery,242159190
20200601,서울특별시,eatery,229740770
20190601,경기도,eatery,208008535
20190701,경기도,eatery,208008535
20190801,경기도,eatery,211113140
20190901,경기도,eatery,198694720
20191001,경기도,eatery,208008535
20191101,경기도,eatery,195590115
20191201,경기도,eatery,214217745
20200101,경기도,eatery,201799325
20200201,경기도,eatery,173857880
20200301,경기도,eatery,170753275
20200401,경기도,eatery,183171695
20200501,경기도,eatery,195590115
20200601,경기도,eatery,180067090
20190601,부산광역시,eatery,90033545
20190701,부산광역시,eatery,90033545
20190801,부산광역시,eatery,93138150
20190901,부산광역시,eatery,86928940
20191001,부산광역시,eatery,90033545
20191101,부산광역시,eatery,86928940
20191201,부산광역시,eatery,99347360
20200101,부산광역시,eatery,86928940
20200201,부산광역시,eatery,68301310
20200301,부산광역시,eatery,55882890
20200401,부산광역시,eatery,65196705
20200501,부산광역시,eatery,86928940
20200601,부산광역시,eatery,80719730
20190601,경상남도,eatery,58987495
20190701,경상남도,eatery,58987495
20190801,경상남도,eatery,62092100
20190901,경상남도,eatery,55882890
20191001,경상남도,eatery,55882890
20191101,경상남도,eatery,55882890
20191201,경상남도,eatery,68301310
20200101,경상남도,eatery,58987495
20200201,경상남도,eatery,46569075
20200301,경상남도,eatery,46569075
20200401,경상남도,eatery,49673680
20200501,경상남도,eatery,62092100
20200601,경상남도,eatery,52778285
20190601,인천광역시,eatery,43464470
20190701,인천광역시,eatery,40359865
20190801,인천광역시,eatery,40359865
20190901,인천광역시,eatery,40359865
20191001,인천광역시,eatery,40359865
20191101,인천광역시,eatery,40359865
20191201,인천광역시,eatery,43464470
20200101,인천광역시,eatery,40359865
20200201,인천광역시,eatery,34150655
20200301,인천광역시,eatery,31046050
20200401,인천광역시,eatery,31046050
20200501,인천광역시,eatery,37255260
20200601,인천광역시,eatery,31046050
20190601,대구광역시,eatery,37255260
20190701,대구광역시,eatery,37255260
20190801,대구광역시,eatery,37255260
20190901,대구광역시,eatery,37255260
20191001,대구광역시,eatery,37255260
20191101,대구광역시,eatery,37255260
20191201,대구광역시,eatery,40359865
20200101,대구광역시,eatery,37255260
20200201,대구광역시,eatery,27941445
20200301,대구광역시,eatery,18627630
20200401,대구광역시,eatery,24836840
20200501,대구광역시,eatery,31046050
20200601,대구광역시,eatery,31046050
20190601,경상북도,eatery,37255260
20190701,경상북도,eatery,37255260
20190801,경상북도,eatery,40359865
20190901,경상북도,eatery,34150655
20191001,경상북도,eatery,37255260
20191101,경상북도,eatery,34150655
20191201,경상북도,eatery,37255260
20200101,경상북도,eatery,31046050
20200201,경상북도,eatery,24836840
20200301,경상북도,eatery,18627630
20200401,경상북도,eatery,24836840
20200501,경상북도,eatery,34150655
20200601,경상북도,eatery,31046050
20190601,강원도,eatery,27826864
