날짜,위치,업종,매출
201901,전국,합계,44936072
201902,전국,합계,38921767
201903,전국,합계,44496876
201904,전국,합계,43591233
201905,전국,합계,46109266
201906,전국,합계,43594544
201907,전국,합계,46211620
201908,전국,합계,45275053
201909,전국,합계,43921467
201910,전국,합계,46599097
201911,전국,합계,46743092
201912,전국,합계,48407568
202001,전국,합계,47333540
202002,전국,합계,41266091
202003,전국,합계,41916271
202004,전국,합계,43066211
201901,전국,종합소매,6717820
201902,전국,종합소매,6046211
201903,전국,종합소매,6697911
201904,전국,종합소매,6616299
201905,전국,종합소매,7113120
201906,전국,종합소매,6691472
201907,전국,종합소매,6898126
201908,전국,종합소매,6896010
201909,전국,종합소매,7194243
201910,전국,종합소매,6839975
201911,전국,종합소매,6876805
201912,전국,종합소매,7127148
202001,전국,종합소매,7027176
202002,전국,종합소매,5690934
202003,전국,종합소매,6199441
202004,전국,종합소매,6171505
201901,전국,백화점,1259884
201902,전국,백화점,1145085
201903,전국,백화점,1351477
201904,전국,백화점,1279599
201905,전국,백화점,1390518
201906,전국,백화점,1217059
201907,전국,백화점,1216038
201908,전국,백화점,1157544
201909,전국,백화점,1347977
201910,전국,백화점,1417561
201911,전국,백화점,1500095
201912,전국,백화점,1591453
202001,전국,백화점,1252842
202002,전국,백화점,867316
202003,전국,백화점,808135
202004,전국,백화점,1014428
201901,전국,대형마트/유통전문점,2656679
201902,전국,대형마트/유통전문점,2402706
201903,전국,대형마트/유통전문점,2609639
201904,전국,대형마트/유통전문점,2551294
201905,전국,대형마트/유통전문점,2790584
201906,전국,대형마트/유통전문점,2776818
201907,전국,대형마트/유통전문점,2897975
201908,전국,대형마트/유통전문점,2906000
201909,전국,대형마트/유통전문점,3100504
201910,전국,대형마트/유통전문점,2829171
201911,전국,대형마트/유통전문점,2857929
201912,전국,대형마트/유통전문점,2987287
202001,전국,대형마트/유통전문점,3120886
202002,전국,대형마트/유통전문점,2410262
202003,전국,대형마트/유통전문점,2755669
202004,전국,대형마트/유통전문점,2680536
201901,전국,슈퍼마켓,1958044
201902,전국,슈퍼마켓,1746519
201903,전국,슈퍼마켓,1870629
201904,전국,슈퍼마켓,1892572
201905,전국,슈퍼마켓,1969621
201906,전국,슈퍼마켓,1727120
201907,전국,슈퍼마켓,1748047
201908,전국,슈퍼마켓,1807037
201909,전국,슈퍼마켓,1759255
201910,전국,슈퍼마켓,1630056
201911,전국,슈퍼마켓,1618973
201912,전국,슈퍼마켓,1625040
202001,전국,슈퍼마켓,1776415
202002,전국,슈퍼마켓,1668306
202003,전국,슈퍼마켓,1883989
202004,전국,슈퍼마켓,1740234
201901,전국,편의점,661708
201902,전국,편의점,588642
201903,전국,편의점,688378
201904,전국,편의점,708420
201905,전국,편의점,773933
201906,전국,편의점,775828
201907,전국,편의점,820703
201908,전국,편의점,818806
201909,전국,편의점,785579
201910,전국,편의점,803735
201911,전국,편의점,743959
201912,전국,편의점,756987
202001,전국,편의점,722959
202002,전국,편의점,681937
202003,전국,편의점,731623
202004,전국,편의점,720035
201901,전국,면세점,181505
201902,전국,면세점,163259
201903,전국,면세점,177788
201904,전국,면세점,184414
201905,전국,면세점,188463
201906,전국,면세점,194646
201907,전국,면세점,215363
201908,전국,면세점,206622
201909,전국,면세점,200928
201910,전국,면세점,159452
201911,전국,면세점,155848
201912,전국,면세점,166380
202001,전국,면세점,154073
202002,전국,면세점,63114
202003,전국,면세점,20025
202004,전국,면세점,16272
201901,전국,전자상거래/통신판매,7595436
201902,전국,전자상거래/통신판매,6670919
201903,전국,전자상거래/통신판매,7741855
201904,전국,전자상거래/통신판매,7495993
201905,전국,전자상거래/통신판매,7817066
201906,전국,전자상거래/통신판매,7285161
201907,전국,전자상거래/통신판매,7836989
201908,전국,전자상거래/통신판매,7560020
201909,전국,전자상거래/통신판매,7618476
201910,전국,전자상거래/통신판매,8192105
201911,전국,전자상거래/통신판매,8636274
201912,전국,전자상거래/통신판매,8946683
202001,전국,전자상거래/통신판매,8708768
202002,전국,전자상거래/통신판매,8712799
202003,전국,전자상거래/통신판매,9356647
202004,전국,전자상거래/통신판매,8953650
201901,전국,식료품,838711
201902,전국,식료품,778584
201903,전국,식료품,703205
201904,전국,식료품,697603
201905,전국,식료품,760900
201906,전국,식료품,709244
201907,전국,식료품,679288
201908,전국,식료품,751927
201909,전국,식료품,952101
201910,전국,식료품,771597
201911,전국,식료품,788901
201912,전국,식료품,813504
202001,전국,식료품,1055930
202002,전국,식료품,677043
202003,전국,식료품,772236
202004,전국,식료품,787775
201901,전국,일반식료품,757030
201902,전국,일반식료품,708538
201903,전국,일반식료품,638752
201904,전국,일반식료품,633441
201905,전국,일반식료품,682870
201906,전국,일반식료품,643380
201907,전국,일반식료품,615617
201908,전국,일반식료품,684823
201909,전국,일반식료품,860329
201910,전국,일반식료품,699171
201911,전국,일반식료품,720249
201912,전국,일반식료품,749504
202001,전국,일반식료품,960791
202002,전국,일반식료품,616008
202003,전국,일반식료품,715368
202004,전국,일반식료품,726930
201901,전국,건강보조식품,81680
201902,전국,건강보조식품,70046
201903,전국,건강보조식품,64453
201904,전국,건강보조식품,64162
201905,전국,건강보조식품,78030
201906,전국,건강보조식품,65864
201907,전국,건강보조식품,63671
201908,전국,건강보조식품,67104
201909,전국,건강보조식품,91771
201910,전국,건강보조식품,72427
201911,전국,건강보조식품,68653
201912,전국,건강보조식품,64000
202001,전국,건강보조식품,95139
202002,전국,건강보조식품,61035
202003,전국,건강보조식품,56868
202004,전국,건강보조식품,60845
201901,전국,의류/잡화,1132901
201902,전국,의류/잡화,1001630
201903,전국,의류/잡화,1241781
201904,전국,의류/잡화,1201059
201905,전국,의류/잡화,1317136
201906,전국,의류/잡화,1178323
201907,전국,의류/잡화,1108101
201908,전국,의류/잡화,1020957
201909,전국,의류/잡화,1075188
201910,전국,의류/잡화,1263757
201911,전국,의류/잡화,1251092
